x,y
0.00000,15.88535
0.02004,15.22798
0.04008,15.14619
0.06012,15.82003
0.08016,14.56002
0.10020,14.35413
0.12024,14.82366
0.14028,15.05108
0.16032,13.97356
0.18036,14.05429
0.20040,14.95206
0.22044,15.03711
0.24048,14.68892
0.26052,15.09805
0.28056,14.63143
0.30060,14.50448
0.32064,15.06300
0.34068,13.92727
0.36072,14.26995
0.38076,14.40483
0.40080,14.98606
0.42084,15.46910
0.44088,15.03761
0.46092,14.88180
0.48096,14.09378
0.50100,15.42201
0.52104,14.82269
0.54108,14.56817
0.56112,14.00255
0.58116,14.17490
0.60120,13.46548
0.62124,14.61187
0.64128,14.33501
0.66132,14.65957
0.68136,14.93875
0.70140,13.63262
0.72144,14.57622
0.74148,14.32099
0.76152,14.37592
0.78156,14.72948
0.80160,14.35349
0.82164,13.69129
0.84168,14.41278
0.86172,15.01026
0.88176,14.30574
0.90180,14.35287
0.92184,14.11312
0.94188,14.16706
0.96192,14.28693
0.98196,14.34704
1.00200,13.70378
1.02204,14.85262
1.04208,13.58858
1.06212,14.39048
1.08216,13.15999
1.10220,13.91475
1.12224,14.36122
1.14228,13.45617
1.16232,14.41759
1.18236,13.41657
1.20240,13.90331
1.22244,14.61548
1.24248,14.75325
1.26253,15.58496
1.28257,14.38738
1.30261,13.92041
1.32265,13.96674
1.34269,13.75488
1.36273,13.58927
1.38277,13.76720
1.40281,14.13334
1.42285,14.29466
1.44289,14.62833
1.46293,13.14800
1.48297,13.77834
1.50301,14.54915
1.52305,12.72277
1.54309,14.75388
1.56313,13.40801
1.58317,13.48369
1.60321,14.10454
1.62325,13.98046
1.64329,14.30821
1.66333,13.46929
1.68337,13.78373
1.70341,13.43247
1.72345,14.27271
1.74349,14.16043
1.76353,13.94560
1.78357,13.79989
1.80361,14.85107
1.82365,13.89320
1.84369,13.40836
1.86373,12.87694
1.88377,14.45051
1.90381,13.42540
1.92385,14.03509
1.94389,13.74099
1.96393,13.25406
1.98397,13.29614
2.00401,14.16055
2.02405,13.90377
2.04409,13.92288
2.06413,14.44419
2.08417,14.17525
2.10421,13.96849
2.12425,13.88645
2.14429,13.75411
2.16433,12.89749
2.18437,13.94697
2.20441,12.86352
2.22445,14.09906
2.24449,14.18591
2.26453,12.78409
2.28457,12.23411
2.30461,12.56111
2.32465,13.85049
2.34469,13.49737
2.36473,12.74589
2.38477,13.12306
2.40481,12.66743
2.42485,12.85370
2.44489,13.34946
2.46493,13.68687
2.48497,12.90214
2.50501,13.19308
2.52505,13.24003
2.54509,12.78156
2.56513,13.02462
2.58517,13.04771
2.60521,13.45374
2.62525,14.45120
2.64529,12.54935
2.66533,12.61916
2.68537,12.97685
2.70541,12.57750
2.72545,12.54404
2.74549,13.16372
2.76553,13.48902
2.78557,13.00403
2.80561,13.20162
2.82565,13.60301
2.84569,12.49896
2.86573,12.65543
2.88577,14.25129
2.90581,12.87861
2.92585,12.49034
2.94589,13.69561
2.96593,13.17991
2.98597,13.12813
3.00601,12.82665
3.02605,12.53660
3.04609,12.71428
3.06613,13.07937
3.08617,13.12481
3.10621,13.12579
3.12625,13.31075
3.14629,13.04352
3.16633,12.69831
3.18637,13.75055
3.20641,11.73079
3.22645,12.45681
3.24649,12.99902
3.26653,12.36833
3.28657,12.18514
3.30661,13.68474
3.32665,12.44712
3.34669,13.57244
3.36673,12.77811
3.38677,12.89765
3.40681,12.79118
3.42685,11.74746
3.44689,12.54369
3.46693,12.14451
3.48697,11.66788
3.50701,13.02192
3.52705,11.94471
3.54709,11.95892
3.56713,12.51686
3.58717,13.45012
3.60721,13.35179
3.62725,12.04386
3.64729,12.33214
3.66733,12.07480
3.68737,12.32308
3.70741,12.91325
3.72745,12.31891
3.74749,11.95532
3.76754,12.30677
3.78758,12.48575
3.80762,13.32211
3.82766,12.34378
3.84770,11.75804
3.86774,11.89771
3.88778,11.22423
3.90782,13.11575
3.92786,12.70334
3.94790,13.03279
3.96794,11.40346
3.98798,12.49205
4.00802,11.74532
4.02806,11.93269
4.04810,12.05378
4.06814,12.05387
4.08818,12.16665
4.10822,12.65951
4.12826,11.38779
4.14830,11.94949
4.16834,11.85372
4.18838,11.98042
4.20842,11.14762
4.22846,12.30881
4.24850,11.85356
4.26854,11.92531
4.28858,12.64511
4.30862,11.77661
4.32866,10.79746
4.34870,11.60971
4.36874,11.36109
4.38878,10.86991
4.40882,12.13848
4.42886,11.24560
4.44890,10.84731
4.46894,11.25630
4.48898,11.72263
4.50902,11.21738
4.52906,12.21187
4.54910,12.62564
4.56914,12.54221
4.58918,11.47524
4.60922,12.07434
4.62926,11.36563
4.64930,11.92902
4.66934,11.87013
4.68938,12.44729
4.70942,11.54668
4.72946,10.81490
4.74950,10.85733
4.76954,11.68907
4.78958,12.44862
4.80962,11.71861
4.82966,11.83710
4.84970,10.88800
4.86974,11.33831
4.88978,10.90175
4.90982,11.21384
4.92986,11.29691
4.94990,11.51672
4.96994,11.96112
4.98998,11.45029
5.01002,10.66353
5.03006,11.75867
5.05010,11.16741
5.07014,11.49285
5.09018,11.06952
5.11022,11.53682
5.13026,11.43797
5.15030,10.72946
5.17034,11.22503
5.19038,11.41578
5.21042,11.98945
5.23046,11.28974
5.25050,10.57732
5.27054,11.38597
5.29058,10.77956
5.31062,12.64796
5.33066,11.19906
5.35070,12.42313
5.37074,11.29106
5.39078,11.97664
5.41082,11.23953
5.43086,11.44715
5.45090,10.90701
5.47094,10.70752
5.49098,11.43559
5.51102,10.59769
5.53106,11.63626
5.55110,11.30829
5.57114,11.31836
5.59118,10.89318
5.61122,11.76268
5.63126,10.58236
5.65130,11.78914
5.67134,10.56655
5.69138,10.78032
5.71142,10.96051
5.73146,10.71795
5.75150,11.00819
5.77154,11.48429
5.79158,11.04999
5.81162,10.56780
5.83166,10.55228
5.85170,10.46823
5.87174,10.51789
5.89178,11.43600
5.91182,10.70264
5.93186,10.69803
5.95190,11.29175
5.97194,11.10653
5.99198,11.13630
6.01202,10.41150
6.03206,11.06446
6.05210,10.21354
6.07214,10.55618
6.09218,10.87647
6.11222,10.87039
6.13226,10.51392
6.15230,10.54725
6.17234,10.90737
6.19238,11.62498
6.21242,10.56012
6.23246,10.83008
6.25251,10.88619
6.27255,10.54207
6.29259,11.00268
6.31263,10.72868
6.33267,10.18130
6.35271,11.33732
6.37275,10.31882
6.39279,11.22714
6.41283,10.45327
6.43287,10.58785
6.45291,11.34076
6.47295,11.02752
6.49299,8.69770
6.51303,10.69837
6.53307,10.48012
6.55311,10.37018
6.57315,10.62891
6.59319,9.97068
6.61323,10.48097
6.63327,10.87909
6.65331,9.84148
6.67335,10.21604
6.69339,10.93744
6.71343,10.49130
6.73347,10.00348
6.75351,11.06103
6.77355,10.31271
6.79359,9.84330
6.81363,9.02691
6.83367,10.09524
6.85371,10.02360
6.87375,9.89634
6.89379,9.74607
6.91383,10.07358
6.93387,10.39710
6.95391,9.38262
6.97395,9.29174
6.99399,10.74595
7.01403,10.54537
7.03407,10.62432
7.05411,10.21163
7.07415,9.09133
7.09419,9.56563
7.11423,10.09437
7.13427,10.04809
7.15431,10.19780
7.17435,10.70100
7.19439,9.50675
7.21443,9.77977
7.23447,10.09667
7.25451,10.53253
7.27455,9.90108
7.29459,10.07446
7.31463,9.21807
7.33467,9.38687
7.35471,9.69543
7.37475,9.64422
7.39479,9.66344
7.41483,9.85535
7.43487,9.65583
7.45491,9.31418
7.47495,9.20083
7.49499,9.57565
7.51503,9.54356
7.53507,10.54720
7.55511,9.49274
7.57515,11.04236
7.59519,9.95821
7.61523,8.36259
7.63527,10.10972
7.65531,9.66887
7.67535,10.15949
7.69539,9.17924
7.71543,9.79701
7.73547,10.08490
7.75551,9.39807
7.77555,8.94926
7.79559,9.80283
7.81563,9.91781
7.83567,9.93447
7.85571,9.39841
7.87575,9.13118
7.89579,8.62452
7.91583,10.05593
7.93587,7.99056
7.95591,9.27291
7.97595,9.31049
7.99599,8.80679
8.01603,9.15625
8.03607,9.32407
8.05611,9.49849
8.07615,8.79565
8.09619,10.37992
8.11623,9.01022
8.13627,9.22974
8.15631,9.50456
8.17635,9.63377
8.19639,8.04575
8.21643,9.25538
8.23647,9.40389
8.25651,10.13671
8.27655,9.19093
8.29659,8.70316
8.31663,9.00920
8.33667,8.99649
8.35671,9.76397
8.37675,8.72321
8.39679,9.21930
8.41683,9.79264
8.43687,8.98893
8.45691,9.92732
8.47695,9.07694
8.49699,9.40930
8.51703,8.94082
8.53707,9.32204
