x,y
-10.00000,-344.94222
-9.95992,-360.75126
-9.91984,-375.44606
-9.87976,-340.65673
-9.83968,-333.60039
-9.79960,-355.97339
-9.75952,-324.72965
-9.71944,-303.52814
-9.67936,-312.27979
-9.63928,-299.33045
-9.59920,-307.45373
-9.55912,-328.80919
-9.51904,-331.17382
-9.47896,-330.88914
-9.43888,-307.20716
-9.39880,-285.11146
-9.35872,-305.37913
-9.31864,-292.32837
-9.27856,-263.94060
-9.23848,-283.94176
-9.19840,-278.62912
-9.15832,-277.28238
-9.11824,-299.81316
-9.07816,-259.92476
-9.03808,-302.60406
-8.99800,-267.87785
-8.95792,-282.01044
-8.91784,-276.75251
-8.87776,-274.62788
-8.83768,-275.33258
-8.79760,-246.90338
-8.75752,-270.48590
-8.71743,-226.55316
-8.67735,-298.09592
-8.63727,-252.78306
-8.59719,-248.68660
-8.55711,-224.96625
-8.51703,-243.75474
-8.47695,-218.61965
-8.43687,-220.72868
-8.39679,-221.16974
-8.35671,-208.96277
-8.31663,-220.31961
-8.27655,-191.16433
-8.23647,-220.79498
-8.19639,-166.41756
-8.15631,-223.44262
-8.11623,-214.52571
-8.07615,-182.04405
-8.03607,-197.14950
-7.99599,-199.96174
-7.95591,-193.98003
-7.91583,-188.31812
-7.87575,-161.06304
-7.83567,-193.56148
-7.79559,-168.88537
-7.75551,-184.71017
-7.71543,-164.14935
-7.67535,-153.40750
-7.63527,-165.24956
-7.59519,-156.21409
-7.55511,-159.44443
-7.51503,-198.98991
-7.47495,-171.81267
-7.43487,-178.85508
-7.39479,-180.18779
-7.35471,-153.90202
-7.31463,-165.38719
-7.27455,-154.31148
-7.23447,-159.78755
-7.19439,-163.15269
-7.15431,-166.41545
-7.11423,-131.40801
-7.07415,-134.33606
-7.03407,-140.17071
-6.99399,-171.64058
-6.95391,-142.38690
-6.91383,-132.80351
-6.87375,-130.76828
-6.83367,-130.95369
-6.79359,-110.23005
-6.75351,-104.16265
-6.71343,-146.48928
-6.67335,-144.31483
-6.63327,-133.80109
-6.59319,-131.83745
-6.55311,-97.42166
-6.51303,-104.44044
-6.47295,-102.72600
-6.43287,-94.03293
-6.39279,-86.49428
-6.35271,-111.72206
-6.31263,-62.66810
-6.27255,-125.65499
-6.23246,-84.47622
-6.19238,-94.44966
-6.15230,-72.79688
-6.11222,-72.39159
-6.07214,-88.40086
-6.03206,-55.89985
-5.99198,-112.46878
-5.95190,-69.60101
-5.91182,-70.26093
-5.87174,-52.25463
-5.83166,-87.79561
-5.79158,-69.10963
-5.75150,-96.05921
-5.71142,-79.09762
-5.67134,-96.74106
-5.63126,-71.11667
-5.59118,-68.63028
-5.55110,-71.11108
-5.51102,-73.55224
-5.47094,-97.12318
-5.43086,-79.59203
-5.39078,-78.40694
-5.35070,-61.32002
-5.31062,-84.87918
-5.27054,-78.44055
-5.23046,-44.68982
-5.19038,-80.17153
-5.15030,-61.27701
-5.11022,-111.50501
-5.07014,-78.86053
-5.03006,-46.07073
-4.98998,-53.50438
-4.94990,-80.35431
-4.90982,-44.71501
-4.86974,-60.84547
-4.82966,-37.49316
-4.78958,0.74363
-4.74950,-47.68888
-4.70942,-56.00002
-4.66934,-63.01965
-4.62926,-30.10699
-4.58918,-23.57913
-4.54910,-61.85499
-4.50902,-47.36120
-4.46894,-38.16837
-4.42886,-21.64483
-4.38878,-42.75429
-4.34870,-36.88386
-4.30862,-35.05506
-4.26854,-12.51823
-4.22846,-30.30296
-4.18838,-64.70815
-4.14830,-48.25065
-4.10822,-5.22382
-4.06814,-58.96419
-4.02806,-38.94765
-3.98798,-6.15953
-3.94790,-4.92251
-3.90782,-18.25280
-3.86774,-40.00593
-3.82766,-18.39237
-3.78758,-16.13632
-3.74749,-37.14033
-3.70741,-48.17923
-3.66733,-37.71733
-3.62725,-30.73062
-3.58717,-5.72757
-3.54709,0.97247
-3.50701,-16.43570
-3.46693,-15.76534
-3.42685,-34.28413
-3.38677,-14.57806
-3.34669,-44.24325
-3.30661,-67.20252
-3.26653,3.86224
-3.22645,-49.88339
-3.18637,-24.07468
-3.14629,-7.58496
-3.10621,-0.73707
-3.06613,32.35500
-3.02605,-53.93573
-2.98597,-30.00618
-2.94589,-8.37907
-2.90581,-19.64642
-2.86573,9.54909
-2.82565,-21.36519
-2.78557,-38.09808
-2.74549,-26.50033
-2.70541,-13.80582
-2.66533,-11.98687
-2.62525,2.06010
-2.58517,-15.22323
-2.54509,-33.41884
-2.50501,1.30743
-2.46493,1.22864
-2.42485,-23.74163
-2.38477,-31.08901
-2.34469,-6.10736
-2.30461,19.65475
-2.26453,10.83752
-2.22445,-24.08468
-2.18437,29.59415
-2.14429,-8.95294
-2.10421,-6.51364
-2.06413,11.98151
-2.02405,-19.72774
-1.98397,11.81209
-1.94389,17.94598
-1.90381,-10.29634
-1.86373,-3.70367
-1.82365,-18.78681
-1.78357,11.66075
-1.74349,10.16206
-1.70341,-9.84545
-1.66333,-8.21916
-1.62325,-2.38296
-1.58317,2.36280
-1.54309,-12.89196
-1.50301,-33.18390
-1.46293,-29.96550
-1.42285,-38.38014
-1.38277,-8.62529
-1.34269,9.82700
-1.30261,-29.87965
-1.26253,4.61854
-1.22244,-4.53982
-1.18236,-4.27182
-1.14228,-32.85467
-1.10220,-38.65851
-1.06212,-30.13393
-1.02204,4.64558
-0.98196,-14.05503
-0.94188,-0.26327
-0.90180,-34.25269
-0.86172,2.89109
-0.82164,6.62185
-0.78156,6.10233
-0.74148,-11.22289
-0.70140,-18.65474
-0.66132,17.52690
-0.62124,-23.50964
-0.58116,-5.19787
-0.54108,-15.59683
-0.50100,-6.27360
-0.46092,-21.82569
-0.42084,-20.95182
-0.38076,-6.38952
-0.34068,36.78921
-0.30060,7.69629
-0.26052,48.17396
-0.22044,-3.06124
-0.18036,-6.07961
-0.14028,9.34890
-0.10020,-42.57129
-0.06012,8.36549
-0.02004,-3.04557
0.02004,-19.53198
0.06012,5.80416
0.10020,31.42909
0.14028,-7.83711
0.18036,-3.27421
0.22044,-14.64272
0.26052,-4.73379
0.30060,-48.15997
0.34068,23.11927
0.38076,-6.03376
0.42084,14.49820
0.46092,22.48740
0.50100,22.05376
0.54108,25.96229
0.58116,1.66302
0.62124,28.31702
0.66132,-25.79668
0.70140,-12.21429
0.74148,-12.10047
0.78156,-4.22350
0.82164,4.57548
0.86172,-24.07992
0.90180,17.06073
0.94188,5.14785
0.98196,15.07568
1.02204,65.44758
1.06212,-18.80627
1.10220,9.85100
1.14228,-3.63660
1.18236,-11.38030
1.22244,29.15560
1.26253,13.05076
1.30261,-11.73406
1.34269,-11.46266
1.38277,1.78554
1.42285,11.56915
1.46293,40.57850
1.50301,37.87111
1.54309,15.17413
1.58317,-7.96293
1.62325,15.58120
1.66333,-19.83146
1.70341,13.71644
1.74349,0.54963
1.78357,-4.22831
1.82365,3.35202
1.86373,38.23817
1.90381,-19.30475
1.94389,26.84148
1.98397,21.36570
2.02405,11.49421
2.06413,38.10446
2.10421,2.51430
2.14429,34.81443
2.18437,6.89341
2.22445,15.10040
2.26453,-13.50268
2.30461,27.72272
2.34469,3.17296
2.38477,-7.01911
2.42485,11.63077
2.46493,-21.22224
2.50501,-33.20716
2.54509,16.80037
2.58517,-4.57506
2.62525,37.33371
2.66533,0.74254
2.70541,9.55921
2.74549,60.87751
2.78557,23.34110
2.82565,23.87790
2.86573,10.88802
2.90581,-34.13259
2.94589,9.76395
2.98597,10.99003
3.02605,11.44444
3.06613,-10.49478
3.10621,7.94382
3.14629,33.09529
3.18637,15.94345
3.22645,27.34669
3.26653,-12.99023
3.30661,17.30630
3.34669,12.48405
3.38677,54.60517
3.42685,21.85163
3.46693,46.76631
3.50701,32.13755
3.54709,24.73548
3.58717,54.73912
3.62725,49.26819
3.66733,4.61627
3.70741,38.78042
3.74749,28.73533
3.78758,-16.36542
3.82766,6.91060
3.86774,31.85849
3.90782,29.71164
3.94790,33.16845
3.98798,43.57610
4.02806,59.78173
4.06814,20.47641
4.10822,41.85944
4.14830,0.29823
4.18838,14.00515
4.22846,28.62785
4.26854,42.59047
4.30862,-8.90270
4.34870,67.24195
4.38878,12.37516
4.42886,36.61768
4.46894,23.83735
4.50902,46.13039
4.54910,39.63952
4.58918,32.46814
4.62926,46.13465
4.66934,65.78435
4.70942,56.72089
4.74950,37.95682
4.78958,5.14241
4.82966,11.84244
4.86974,42.28973
4.90982,21.69025
4.94990,73.18812
4.98998,36.28288
5.03006,56.00699
5.07014,49.60458
5.11022,26.24227
5.15030,46.83394
5.19038,43.03691
5.23046,58.14331
5.27054,43.10415
5.31062,40.96576
5.35070,55.23715
5.39078,30.04203
5.43086,44.46258
5.47094,60.87954
5.51102,38.98937
5.55110,57.69568
5.59118,34.85812
5.63126,22.19028
5.67134,44.50334
5.71142,65.89436
5.75150,94.27163
5.79158,77.08624
5.83166,45.09863
5.87174,27.86102
5.91182,83.59084
5.95190,72.78044
5.99198,56.02840
6.03206,110.59496
6.07214,72.61098
6.11222,64.84254
6.15230,66.07459
6.19238,79.54891
6.23246,77.93080
6.27255,89.44352
6.31263,59.18689
6.35271,69.97389
6.39279,70.97043
6.43287,90.32166
6.47295,92.09907
6.51303,101.61171
6.55311,81.98022
6.59319,57.37779
6.63327,104.08308
6.67335,109.03616
6.71343,89.54274
6.75351,109.59703
6.79359,68.74216
6.83367,85.36191
6.87375,71.02573
6.91383,101.36613
6.95391,89.70219
6.99399,59.90981
7.03407,103.99293
7.07415,109.09951
7.11423,102.05233
7.15431,103.57705
7.19439,99.19663
7.23447,142.22030
7.27455,109.79722
7.31463,88.95732
7.35471,132.90179
7.39479,136.75603
7.43487,108.22724
7.47495,152.34602
7.51503,83.59358
7.55511,110.30129
7.59519,137.70120
7.63527,128.68480
7.67535,161.02346
7.71543,119.80747
7.75551,162.61130
7.79559,140.60113
7.83567,134.66784
7.87575,135.17511
7.91583,168.44933
7.95591,155.08232
7.99599,122.36840
8.03607,92.78227
8.07615,163.55755
8.11623,138.80926
8.15631,129.07861
8.19639,170.63407
8.23647,145.29329
8.27655,187.85080
8.31663,181.95279
8.35671,183.71297
8.39679,164.20042
8.43687,160.95499
8.47695,154.41881
8.51703,197.19937
8.55711,194.84283
8.59719,228.57910
8.63727,159.03405
8.67735,160.87356
8.71743,206.68395
8.75752,197.54554
8.79760,208.71643
8.83768,185.10630
8.87776,219.00350
8.91784,218.83527
8.95792,209.81078
8.99800,160.23590
9.03808,209.96100
9.07816,235.62813
9.11824,213.69410
9.15832,206.74495
9.19840,205.05179
9.23848,235.05947
9.27856,210.09837
9.31864,196.57314
9.35872,227.89607
9.39880,263.88705
9.43888,208.84870
9.47896,263.99417
9.51904,273.23679
9.55912,253.49452
9.59920,253.61002
9.63928,225.04200
9.67936,256.53040
9.71944,252.42857
9.75952,276.12805
9.79960,249.47199
9.83968,237.42110
9.87976,257.49406
9.91984,291.68769
9.95992,230.22737
10.00000,285.71168
