Team,Opponent Points Against,Opponent Turnovers,Points
Chiefs,395,23,20
Chiefs,371,30,17
Chiefs,379,25,41
Chiefs,355,33,23
Chiefs,362,34,27
Chiefs,413,22,19
Chiefs,398,21,31
Chiefs,413,22,9
Chiefs,391,25,21
Chiefs,428,28,17
Chiefs,331,24,31
Chiefs,350,18,19
Chiefs,311,28,17
Chiefs,366,29,27
Chiefs,331,24,14
Chiefs,384,16,25
Chiefs,398,21,13
49ers,324,16,30
49ers,377,18,30
49ers,407,19,30
49ers,455,18,35
49ers,315,16,42
49ers,362,37,17
49ers,362,34,17
49ers,384,16,17
49ers,371,30,34
49ers,325,18,27
49ers,402,17,31
49ers,428,28,42
49ers,402,17,28
49ers,455,18,45
49ers,280,19,19
49ers,518,32,27
49ers,377,18,20
