,←,↓,→,↑
0,0.229,0.254,0.254,0.229
1,0.229,0.282,0.282,0.254
2,0.254,0.314,0.314,0.282
3,0.282,0.349,0.349,0.314
4,0.314,0.387,0.387,0.349
5,0.349,0.43,0.43,0.387
6,0.387,0.478,0.478,0.43
7,0.43,0.531,0.478,0.478
8,0.254,0.282,0.282,0.229
9,0.254,0.314,0.314,0.254
10,0.282,0.349,0.349,0.282
11,0.314,0.0,0.387,0.314
12,0.349,0.43,0.43,0.349
13,0.387,0.478,0.478,0.387
14,0.43,0.531,0.531,0.43
15,0.478,0.59,0.531,0.478
16,0.282,0.314,0.314,0.254
17,0.282,0.349,0.349,0.282
18,0.314,0.387,0.0,0.314
19,0.0,0.0,0.0,0.0
20,0.0,0.478,0.478,0.387
21,0.43,0.0,0.531,0.43
22,0.478,0.59,0.59,0.478
23,0.531,0.656,0.59,0.531
24,0.314,0.282,0.349,0.282
25,0.314,0.314,0.387,0.314
26,0.349,0.349,0.43,0.349
27,0.387,0.0,0.478,0.0
28,0.43,0.531,0.0,0.43
29,0.0,0.0,0.0,0.0
30,0.0,0.656,0.656,0.531
31,0.59,0.729,0.656,0.59
32,0.282,0.254,0.314,0.314
33,0.282,0.0,0.349,0.349
34,0.314,0.0,0.0,0.387
35,0.0,0.0,0.0,0.0
36,0.0,0.478,0.59,0.478
37,0.531,0.531,0.656,0.0
38,0.59,0.0,0.729,0.59
39,0.656,0.81,0.729,0.656
40,0.254,0.229,0.0,0.282
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.478,0.0
44,0.43,0.0,0.531,0.531
45,0.478,0.478,0.0,0.59
46,0.0,0.0,0.0,0.0
47,0.0,0.9,0.81,0.729
48,0.229,0.206,0.0,0.254
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.43,0.0,0.531
54,0.0,0.0,0.0,0.0
55,0.0,1.0,0.9,0.81
56,0.206,0.206,0.182,0.229
57,0.206,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.478
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
