,South,North,East,West,Pickup,Dropoff
"(0, 0) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0) R->G",-0.586,0.46,-0.586,0.46,1.623,-8.54
"(0, 0) R->Y",4.349,5.943,4.349,5.943,7.715,-3.057
"(0, 0) R->B",0.46,1.623,0.46,1.623,2.914,-7.377
"(0, 0) G->R",-4.997,-5.497,-4.997,-5.497,-14.497,-14.497
"(0, 0) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0) G->Y",-4.997,-5.497,-4.997,-5.497,-14.497,-14.497
"(0, 0) G->B",-3.137,-3.823,-3.137,-3.823,-12.823,-12.823
"(0, 0) Y->R",1.623,0.46,-0.586,0.46,-8.54,-8.54
"(0, 0) Y->G",-2.374,-3.137,-3.823,-3.137,-12.137,-12.137
"(0, 0) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0) Y->B",-1.527,-2.374,-3.137,-2.374,-11.374,-11.374
"(0, 0) B->R",-3.823,-4.441,-3.823,-4.441,-13.441,-13.441
"(0, 0) B->G",-2.374,-3.137,-2.374,-3.137,-12.137,-12.137
"(0, 0) B->Y",-3.823,-4.441,-3.823,-4.441,-13.441,-13.441
"(0, 0) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 0) T->R",14.3,17.0,14.3,17.0,8.0,20.0
"(0, 0) T->G",2.914,1.623,2.914,1.623,-7.377,0.46
"(0, 0) T->Y",9.683,7.715,5.943,7.715,-1.285,5.943
"(0, 0) T->B",4.349,2.914,4.349,2.914,-6.086,1.623
"(1, 0) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0) R->G",-1.527,-0.586,-0.586,0.46,-9.586,-9.586
"(1, 0) R->Y",2.914,4.349,4.349,5.943,-4.651,-4.651
"(1, 0) R->B",-0.586,0.46,0.46,1.623,-8.54,-8.54
"(1, 0) G->R",-4.441,-4.997,-4.997,-5.497,-13.997,-13.997
"(1, 0) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0) G->Y",-4.441,-4.997,-4.997,-5.497,-13.997,-13.997
"(1, 0) G->B",-2.374,-3.137,-3.137,-3.823,-12.137,-12.137
"(1, 0) Y->R",0.46,-0.586,-0.586,0.46,-9.586,-9.586
"(1, 0) Y->G",-3.137,-3.823,-3.823,-3.137,-12.823,-12.823
"(1, 0) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0) Y->B",-2.374,-3.137,-3.137,-2.374,-12.137,-12.137
"(1, 0) B->R",-3.137,-3.823,-3.823,-4.441,-12.823,-12.823
"(1, 0) B->G",-1.527,-2.374,-2.374,-3.137,-11.374,-11.374
"(1, 0) B->Y",-3.137,-3.823,-3.823,-4.441,-12.823,-12.823
"(1, 0) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0) T->R",11.87,14.3,14.3,17.0,5.3,5.3
"(1, 0) T->G",4.349,2.914,2.914,1.623,-6.086,-6.086
"(1, 0) T->Y",7.715,5.943,5.943,7.715,-3.057,-3.057
"(1, 0) T->B",5.943,4.349,4.349,2.914,-4.651,-4.651
"(2, 0) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0) R->G",-3.823,-4.441,-4.997,-4.441,-13.441,-13.441
"(2, 0) R->Y",-0.586,-1.527,-2.374,-1.527,-10.527,-10.527
"(2, 0) R->B",-3.137,-3.823,-4.441,-3.823,-12.823,-12.823
"(2, 0) G->R",-2.374,-1.527,-0.586,-1.527,-10.527,-10.527
"(2, 0) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0) G->Y",-2.374,-1.527,-0.586,-1.527,-10.527,-10.527
"(2, 0) G->B",0.46,1.623,2.914,1.623,-7.377,-7.377
"(2, 0) Y->R",-0.586,-1.527,-2.374,-1.527,-10.527,-10.527
"(2, 0) Y->G",-3.823,-4.441,-4.997,-4.441,-13.441,-13.441
"(2, 0) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0) Y->B",-3.137,-3.823,-4.441,-3.823,-12.823,-12.823
"(2, 0) B->R",-2.374,-3.137,-2.374,-3.137,-12.137,-12.137
"(2, 0) B->G",-0.586,-1.527,-0.586,-1.527,-10.527,-10.527
"(2, 0) B->Y",-2.374,-3.137,-2.374,-3.137,-12.137,-12.137
"(2, 0) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0) T->R",5.943,4.349,2.914,4.349,-4.651,-4.651
"(2, 0) T->G",9.683,11.87,14.3,11.87,2.87,2.87
"(2, 0) T->Y",5.943,4.349,2.914,4.349,-4.651,-4.651
"(2, 0) T->B",7.715,5.943,7.715,5.943,-3.057,-3.057
"(3, 0) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0) R->G",-4.441,-4.997,-5.497,-4.441,-13.997,-13.997
"(3, 0) R->Y",-1.527,-2.374,-3.137,-1.527,-11.374,-11.374
"(3, 0) R->B",-3.823,-4.441,-4.997,-3.823,-13.441,-13.441
"(3, 0) G->R",-1.527,-0.586,0.46,-1.527,-9.586,-9.586
"(3, 0) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0) G->Y",-1.527,-0.586,0.46,-1.527,-9.586,-9.586
"(3, 0) G->B",1.623,2.914,4.349,1.623,-6.086,-6.086
"(3, 0) Y->R",-1.527,-2.374,-3.137,-1.527,-11.374,-11.374
"(3, 0) Y->G",-4.441,-4.997,-5.497,-4.441,-13.997,-13.997
"(3, 0) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0) Y->B",-3.823,-4.441,-4.997,-3.823,-13.441,-13.441
"(3, 0) B->R",-1.527,-2.374,-3.137,-3.137,-11.374,-11.374
"(3, 0) B->G",0.46,-0.586,-1.527,-1.527,-9.586,-9.586
"(3, 0) B->Y",-1.527,-2.374,-3.137,-3.137,-11.374,-11.374
"(3, 0) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0) T->R",4.349,2.914,1.623,4.349,-6.086,-6.086
"(3, 0) T->G",11.87,14.3,17.0,11.87,5.3,5.3
"(3, 0) T->Y",4.349,2.914,1.623,4.349,-6.086,-6.086
"(3, 0) T->B",9.683,7.715,5.943,5.943,-1.285,-1.285
"(4, 0) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0) R->G",-4.997,-5.497,-5.497,-4.997,-14.497,-14.497
"(4, 0) R->Y",-2.374,-3.137,-3.137,-2.374,-12.137,-12.137
"(4, 0) R->B",-4.441,-4.997,-4.997,-4.441,-13.997,-13.997
"(4, 0) G->R",-0.586,0.46,0.46,-0.586,1.623,-8.54
"(4, 0) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0) G->Y",-0.586,0.46,0.46,-0.586,1.623,-8.54
